Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Vinblastine,1004,LN-18,1240168,GBM,nervous_system,glioma,-4.586506621,0.645415235,0.1,0.14639049,-0.503038181,GDSC2
Vinblastine,1004,LN-229,1240169,GBM,nervous_system,glioma,-2.192475507,0.863479189,0.1,0.128155843,0.59707819,GDSC2
Vinblastine,1004,GRANTA-519,1303897,DLBC,blood,B_cell_lymphoma,-3.958692956,0.716282838,0.1,0.147256025,-0.21454231,GDSC2
Vinblastine,1004,JSC-1,1327769,DLBC,blood,B_cell_lymphoma,-6.0220226,0.463742574,0.1,0.137817399,-1.162693196,GDSC2
Vinblastine,1004,KARPAS-1106P,1327773,DLBC,blood,B_cell_lymphoma,-4.777707821,0.633479635,0.1,0.116954217,-0.59089985,GDSC2
Vinblastine,1004,RC-K8,1330995,DLBC,blood,B_cell_lymphoma,-3.576722809,0.757438322,0.1,0.044511387,-0.039017602,GDSC2
Vinblastine,1004,SLVL,1331032,DLBC,blood,B_cell_lymphoma,-5.914893385,0.479289944,0.1,0.114888623,-1.113464678,GDSC2
Vinblastine,1004,SU-DHL-10,1331033,DLBC,blood,B_cell_lymphoma,-6.367319647,0.412571479,0.1,0.107668646,-1.32136571,GDSC2
Vinblastine,1004,SU-DHL-5,1331036,DLBC,blood,B_cell_lymphoma,-6.585485985,0.380340837,0.1,0.072802969,-1.421618525,GDSC2
Vinblastine,1004,SU-DHL-6,1331037,DLBC,blood,B_cell_lymphoma,-6.35197645,0.415130051,0.1,0.129632515,-1.314315132,GDSC2
Vinblastine,1004,SU-DHL-8,1331038,DLBC,blood,B_cell_lymphoma,-4.052275538,0.741082744,0.1,0.056010519,-0.257545816,GDSC2
Vinblastine,1004,TK,1331045,DLBC,blood,B_cell_lymphoma,-4.007286542,0.739489778,0.1,0.106018644,-0.236872262,GDSC2
Vinblastine,1004,VAL,1331048,DLBC,blood,B_cell_lymphoma,-6.281859082,0.431219008,0.1,0.112393323,-1.282094471,GDSC2
Vinblastine,1004,WSU-DLCL2,1331050,DLBC,blood,B_cell_lymphoma,-7.102978366,0.312749335,0.1,0.101080922,-1.659419044,GDSC2
Cisplatin,1005,42-MG-BA,687561,GBM,nervous_system,glioma,1.944684713,0.889314905,6.0,0.078786308,-0.693672671,GDSC2
Cisplatin,1005,8-MG-BA,687562,GBM,nervous_system,glioma,2.024650467,0.910825178,6.0,0.057090987,-0.650261414,GDSC2
Cisplatin,1005,A172,687563,GBM,nervous_system,glioma,3.948313226,0.961727817,6.0,0.052634591,0.394043363,GDSC2
Cisplatin,1005,GB-1,687568,GBM,nervous_system,glioma,1.371134132,0.80869008,6.0,0.072787036,-1.005037856,GDSC2
Cisplatin,1005,T98G,687586,GBM,nervous_system,glioma,4.002283079,0.971343856,6.0,0.074171233,0.423342144,GDSC2
Cisplatin,1005,U-118-MG,687588,GBM,nervous_system,glioma,2.814212981,0.898813391,6.0,0.06664127,-0.22162916,GDSC2
Cisplatin,1005,U-87-MG,687590,GBM,nervous_system,glioma,3.203939326,0.933851116,6.0,0.075285999,-0.010057209,GDSC2
Cisplatin,1005,U251,905983,GBM,nervous_system,glioma,2.751005743,0.91873304,6.0,0.079396138,-0.25594267,GDSC2
